title,abstract,year,doi,pages,authors,keywords,journal,paper_id,author_ids,keyword_ids
Achieving High-Resolution Pressure Mapping Via Flexible Gan/Zno Nanowire Leds Array By Piezo-Phototronic Effect,"Simulating human tactile sensing through high-resolution electronics is a significant and challenging topic in artificial intelligence. A flexible p-GaN film/n-ZnO nanowire light-emitting diode (LED)-based pressure sensor array, with the merits of flexibility, high resolution, good transparency, fast response, stability, and lightweight, is fabricated through laser lift-off (LLO) process and hydrothermal growth of ZnO nanowires directly on a flexible GaN film, which is used for acquiring the two-dimensional (2D) pressure distribution mapping by reading the illumination intensities from all LED pixels parallelly. The intensity of each pixel composed by a GaN/ZnO nanowire heterostructure LED can be enhanced by the local compressive strain based on piezo-phototronic effect. A high spatial resolution of 2.6 mu m and a fast response time of 180 ms were obtained, and also the sensor arrays can still function well after 4000 bending circles. The promising flexible LEDs-based pressure sensor array gains some technological innovations in the field of tactile sensing, with potential applications in smart skin, biomedicine, optical MEMS, and touchpad technology. C1 [Peng, Yiyao; Que, Miaoling; Bao, Rongrong; Wang, Xiandi; Lu, Junfeng; Yuan, Zuqing; Li, Xiaoyi; Tao, Juan; Sun, Junlu; Zhai, Junyi; Pan, Caofeng] Chinese Acad Sci, Beijing Inst Nanoenergy & Nanosyst, Beijing Key Lab Micronano Energy & Sensor, CAS Ctr Excellence Nanosci, Beijing 100083, Peoples R China. [Peng, Yiyao; Bao, Rongrong; Wang, Xiandi; Lu, Junfeng; Yuan, Zuqing; Tao, Juan; Zhai, Junyi; Pan, Caofeng] Univ Chinese Acad Sci, Sch Nanosci & Technol, Beijing 100049, Peoples R China. [Que, Miaoling] Suzhou Univ Sci & Technol, Sch Elect & Informat Engn, Suzhou 215009, Peoples R China. [Lee, Han Eol; Lee, Keon Jae] Korea Adv Inst Sci & Technol, Dept Mat Sci & Engn, Daejeon 305701, South Korea. [Pan, Caofeng] Shenzhen Univ, Coll Optoelect Engn, Shenzhen 518060, Peoples R China. C3 Chinese Academy of Sciences; Beijing Institute of Nanoenergy & Nanosystems, CAS; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; Suzhou University of Science & Technology; Korea Advanced Institute of Science & Technology (KAIST); Shenzhen University",2019,10.1016/j.nanoen.2019.01.076,633-640,"['cf, peng yy que ml lee he bao rr wang xd lu jf yuan zq li xy tao j sun jl zhai jy lee kj pan']","['flexible leds array; high resolution; laser lift-off; piezo-phototronic effect; pressure mapping', 'sensor matrix; zno; electronics; piezotronics']",Nano Energy,P000277,['A000330'],"['K000486', 'K000487']"
Magnetic Properties Of Nd-Fe-B Single Dots Fabricated Using The Pld-Lift Method,"Single-dot Nd-Fe-B micromagnets were fabricated using the pulsed laser deposition-laser-induced forward transfer (PLD-LIFT) technique, and their magnetic properties were systematically examined. Hysteresis measurements with a vibrating sample magneto meter revealed that the coercivity (H-c) was nearly independent of laser power, whereas an increased defocus rate (DF rate) enhanced H-c up to 340 kA/m. Scanning electron microscopy and cross-sectional scanning transmission electron microscopy analyses revealed that each dot comprises grains ranging from submicrometer to micrometer scale. Within these grains, an Nd2Fe14B core is encapsulated by an Fe-rich matrix containing dispersed Nd oxides. The thickness of this Fe-rich outer shell modifies the exchange pathway at the Nd2Fe14B/Fe interface, giving rise to the characteristic two-step demagnetization. Guided by these observations, a simplified Nd2Fe14B/alpha-Fe core-shell model was developed and evaluated through micromagnetic simulations, which successfully reproduced the stepwise reversal and clarified DF's role in suppressing soft-phase connectivity and improving loop squareness. Collectively, these findings identify DF rate as the dominant processing parameter and provide practical guidelines for tailoring PLD-LIFT Nd-Fe-B micromagnets toward microelectromechanical systems applications. C1 [Koike, K.; Okawa, T.; Ikagawa, Y.] Yamagata Univ, Grad Sch Sci & Engn, Yonezawa 9928510, Japan. [Amiya, T.; Tahara, G.; Nakano, M.] Nagasaki Univ, Grad Sch Integrated Sci & Technol, Nagasaki 8528521, Japan. [Itakura, M.; Yasunaga, T.] Kyushu Univ, Dept Adv Mat Sci & Engn, Kasuga 8168580, Japan. C3 Yamagata University; Nagasaki University; Kyushu University",2026,10.1109/lmag.2026.3652505,,"['m, koike k okawa t ikagawa y amiya t tahara g itakura m yasunaga t nakano']",['magnetic hysteresis; substrates; microelectromechanical systems; coercive force; perpendicular magnetic anisotropy; magnetic resonance imaging; magnetic properties; soft magnetic materials; saturation magnetization; receivers; neodymium compounds; hard magnetic materials; nd-fe-b dot; laser-induced forward transfer; low-temperature process; microelectromechanical systems'],Ieee Magnetics Letters,P000278,['A000331'],['K000488']
Stochastic Response Of A Stiff Film-Substrate Structure Under An Axial Strain And Gaussian White Noise,"Purpose - The flexible film-substrate-based electronics experience various service loadings. To prevent structural failure of the stiff film-substrate structure, this work investigates the stochastic response of a stiff film-substrate structure under harmonic axial strain and Gaussian white noise. It analyzes the stiff film-substrate structure's dynamic behaviors and reliability under combined deterministic and random excitation. Design/methodology/approach - A finite deformation model is established by using the energy method and the dynamic equation is derived via the Lagrange equation. The stationary probability density is obtained by applying the stochastic averaging method and the effects of damping coefficient, noise intensity and pre-strain on stationary probability density are analyzed. Numerical examples are given to discuss the influence of the applied harmonic strain and noise intensity on the dynamic peak strain. Findings - Increased damping coefficient elevates the peak height of the stationary probability density without altering its position, whereas increased noise intensity reduces the stationary probability density peak while preserving peak location. Too large an amplitude of the applied strain or too small a period of the applied strain will lead to fracture of the film-substrate structure. Originality/value - This study establishes a theoretical framework for predicting stochastic responses of film-substrate structures, with direct implications for design optimization in flexible electronics and micro-electro-mechanical systems applications. C1 [Zhang, Miaochan] Northwestern Polytech Univ, Dept Engn Mech, Xian, Peoples R China. [Bi, Haohao] Qingdao Univ Technol, Sch Sci, Qingdao, Peoples R China. [Chen, Hao] Chinese Flight Test Estab, Dept Aircraft, Xian, Peoples R China. C3 Northwestern Polytechnical University; Qingdao University of Technology",2026,10.1108/mmms-03-2025-0070,39-57,"['h, zhang mc bi hh chen']","['thin-film; mechanics; wrinkles', 'film-substrate structure; stochastic response; stationary probability density; finite deformation; structural reliability']",Multidiscipline Modeling In Materials And Structures,P000279,['A000332'],"['K000489', 'K000490']"
Application Of Rubrene Air-Gap Transistors As Sensitive Mems Physical Sensors,"Micro-electromechanical systems (MEMS) made of organic materials have attracted efforts for the development a new generation of physical, chemical, and biological sensors, for which the electromechanical sensitivity is the current major concern. Here, we present an organic MEMS made of a rubrene single-crystal air-gap transistor. Applying mechanical pressure on the semiconductor results in high variations in drain current: an unparalleled gauge factor above 4000 has been measured experimentally. Such a high sensitivity is induced by the modulation of charge injection at the interface between the gold electrode and the rubrene semiconductor as an unusual transducing effect. Applying these devices to the detection of acoustic pressure shows that force down to 230 nN can be measured with a resolution of 40 nN. This study demonstrates that MEMS based on rubrene air-gap transistors constitute a step forward in the development of high-performance flexible sensors. C1 [Pereira, Marco J.; Hirsch, Lionel; Dufour, Isabelle; Ayela, Cedric; Wantz, Guillaume] Univ Bordeaux, IMS, CNRS, Bordeaux INP,ENSCBP,UMR 5218, F-33405 Talence, France. [Matta, Micaela; Gali, Sai Manoj; Muccioli, Luca] Univ Bordeaux, ISM, CNRS, UMR 5255, F-33405 Talence, France. [Briseno, Alejandro; Crosby, Alfred] Polymer Sci & Engn Univ Massachusetts, Amherst 120 Governors Dr, Amherst, MA 01003 USA. [Olivier, Yoann] Univ Mons, Lab Chem Novel Mat, Pl Parc 20, B-7000 Mons, Belgium. [Muccioli, Luca] Univ Bologna, Dept Ind Chem Toso Montanari, I-40136 Bologna, Italy. C3 Universite de Bordeaux; Centre National de la Recherche Scientifique (CNRS); CNRS - Institute for Engineering & Systems Sciences (INSIS); Universite de Bordeaux; Centre National de la Recherche Scientifique (CNRS); CNRS - Institute of Chemistry (INC); University of Mons; University of Bologna",2018,10.1021/acsami.8b15319,41570-41577,"['g, pereira mj matta m hirsch l dufour i briseno a gali sm olivier y muccioli l crosby a ayela c wantz']","['organic mems; organic field-effect transistor (ofet); air-gap transistor; crystal; rubrene; pressure sensor; charge injection', 'flexible pressure sensors']",Acs Applied Materials & Interfaces,P000280,['A000333'],"['K000491', 'K000492']"
Frequency Response Of Parametric Resonance Of Electrostatically Actuated Bio-Mems Circular Membranes,"This paper deals with the amplitude-frequency response of parametric resonance of electrostatically actuated Bio-MEMS circular membrane resonators. The system consists of a flexible clamped circular membrane over a parallel fixed ground plate. Between the membrane and the ground plate is an alternating current (AC) voltage. The magnitude of the AC voltage is in the range of soft excitation. The AC frequency used to actuate the Bio-MEMS is near the first natural frequency of the membrane. Since the electrostatic force is proportional to the square of the voltage, this actuation leads to parametric resonance of Bio-MEMS circular membranes. The equation of motion includes Casimir and Van deer Waals forces. Two methods of investigation are utilized in this paper, the method of multiple scales (MMS), and the reduced order model (ROM). They are used to analytically and numerically solve the differential equations of motion for amplitude-frequency response of Bio-MEMS membrane resonators. The effects of Casimir force, Van der Waals force, voltage, and damping on the amplitude-frequency response of the system are also reported. The results show that the increase of Casimir and Van der Waals parameters increase the softening effect of the response, i.e., the response shifts towards lower frequencies and amplitudes. The results also showed that an increase in the damping parameter decreased the escape band of the response, while increasing the voltage parameter had the opposite effect increasing the size of the escape band. C1 [Alipi, Marcos; Caruntu, Dumitru I.] Univ Texas Rio Grande Valley, Dept Mech Engn, Edinburg, TX 78539 USA. C3 University of Texas System; University of Texas Rio Grande Valley",2022,,,"['di, alipi m caruntu']",['reduced-order model'],"Proceedings Of Asme 2022 International Design Engineering Technical Conferences And Computers And Information In Engineering Conference, Idetc-Cie2022, Vol 8",P000281,['A000122'],['K000493']
A Compact Packaging Technique For The Integration Of Ultrasound Probes In Surgical Needles,"State-of-the-art neurosurgery intervention relies heavily on tissue imaging information taken at a pre-operative stage. The data retrieved prior to performing an opening in the patient's skull, however, may present inconsistencies with respect to the tissue position observed by the surgeon during intervention, due to both the pulsing activity of the brain and possible displacements caused by movement of the patient and the pressure difference between the external and internal environment. The consequent uncertainty during the insertion of surgical tools into the treated tissue gives rise to great interest in real-time guidance techniques. In that respect, ultrasound imaging during neurosurgery is a promising method for imaging the tissue while inserting surgical tools, as it provides high lateral resolution images. While microelectromechanical systems (MEMS) manufacturing techniques have enabled the miniaturisation of ultrasound array devices to fit needle gauges down to 2 mm inner diameter, the challenge in scaling the probes for their integration in surgical needles lies in the development of adequate interconnection techniques to interface the microscale transducer at the tip of the needle with the macroscale driving electronic circuitry. This paper presents progress towards a novel packaging scheme that involves a thin flexible printed circuit interconnection wound inside a surgical needle and connected to the probe at the tip by means of a magnetically aligned anisotropic conductive paste. This bonding technology offers higher compactness compared to conventional wire bonding, as the individual electrical connections are isolated from one another within the volume of the paste line. C1 [Schiavone, Giuseppe; Desmulliez, Marc P. Y.] Heriot Watt Univ, MIcroSyst Engn Ctr, Edinburgh, Midlothian, Scotland. [McPhillips, Rachael; Qiu, Zhen; Demore, Christine E. M.; Cochran, Sandy; Mahboob, Syed O.] Univ Dundee, Inst Med Sci & Technol, Dundee, Scotland. [Jones, Thomas] Merlin Circuit Technol Ltd, Deeside, Clwyd, Wales. [Jiang, Yun; Meggs, Carl; Button, Tim W.] Univ Birmingham, Sch Met & Mat, Birmingham, W Midlands, England. C3 Heriot Watt University; University of Dundee; University of Birmingham",2015,,,"['tw, schiavone g desmulliez mpy mcphillips r qiu z demore cem cochran s mahboob so jones t price d jiang y meggs c button']","['mhz', 'medical devices; anisotropic interconnections; compact packaging; flexible interconnects']","2015 Symposium On Design, Test, Integration And Packaging Of Mems/Moems (Dtip)",P000281,['A000334'],"['K000494', 'K000495']"
Towards An Evaluation Of Stiffness Parameters Of Micro-Beams,"Microfabricated devices are widely used as sensors, actuators and resonators. The performance of these devices is influenced by the process used for microfabrication and machining. Several models are available in the literature to predict the static and dynamic behavior of MEMS devices. While most of the reported models neglected the effect of flexible boundary conditions on the overall performance of the microdevices, some reported works showed that the characteristics of the micro-beams are significantly influenced by the unavoidable flexibility at the boundaries. Therefore, several recent studies considered the real support conditions by introducing spring elements at the boundary. The stiffness parameters were then estimated by fitting the numerical results with experimental measurements. There is some discrepancy between the stiffness values reported in different studies for the same microbeam. This work also presented a numerical finite element model to investigate the effect of the support on the equivalent stiffness parameters that represent real boundary conditions. C1 [Bashmal, Salem] King Fahd Univ Petr & Minerals, Fac Engn, Dhahran, Saudi Arabia. C3 King Fahd University of Petroleum & Minerals",2016,,,"['s, bashmal']",['characteristic orthogonal polynomials; rayleigh-ritz method; pull-in instability; elastic boundary; mems structures; nems'],Proceedings Of The 23Rd International Congress On Sound And Vibration: From Ancient To Modern Acoustics,P000281,['A000335'],['K000496']
1 X 8 Mems Flexible Integrated Optical Device For Optical Fiber-Based Networking Applications,"A 1 x 8 MEMS (micro-electronic mechanical system)based flexible integrated optical device with optical switch and variable optical power attenuating functions has been proposed to optimally serve optical fiber-based networking applications. The device manipulates the light with binary-slope mirrors driven by compound electrostatic actuator. The optical models for switching and attenuating are investigated, respectively. Performances of the fabricated devices assembled with ball-lensed fibers are measured and discussed. Measurements reveal that the insertion loss of the device is less than 2.8 dB and the controllable attenuation range is up to 39 dB, respectively. Moreover, polarization-dependent loss is less than 0.8 dB in the whole attenuation range. (C) 2012 Wiley Periodicals, Inc. Microwave Opt Technol Lett 55:231-236, 2012; View this article online at wileyonlinelibrary.com. DOI 10.1002/mop.27293 C1 [Chen, Qinghua; Chen, Yingjun; Li, Yanmei; Li, Li] Zhaoqing Univ, Inst Elect Informat & Elect Engn, Guangzhou 526061, Guangdong, Peoples R China. [Wu, Wengang; Yan, Guizhen; Hao, Yilong] Peking Univ, Inst Microelect, Natl Key Lab Micro Nano Fabricat Technol, Beijing 100871, Peoples R China. C3 Zhaoqing University; Peking University",2013,10.1002/mop.27293,231-236,"['yl, chen qh chen yj wu wg li ym li l yan gz hao']","['attenuator; design; fabrication', 'flexible integration; mems; optical switching; variable optical attenuating; optic fiber communication']",Microwave And Optical Technology Letters,P000281,['A000336'],"['K000497', 'K000498']"
Real Time Distress Monitoring Of Soft Soil Highway Embankment,"Highway embankments constructed over soft soil foundation exhibit pronounced settlement/geotechnical distresses resulting in reduced service life of communication infrastructure; necessitates real time monitoring system. Upgradation/maintenances of road infrastructure is a continuous practice, worldwide. Construction of Swat Motorway in Pakistan is one such mega project at hand, where high water table and soft foundation strata is encountered. This paper attempts to explore and evaluate the modern procedural developments in highway embankments; acquisition, interpretation and processing of real time data associated with soft soil monitoring systems using Micro Electro Mechanical Sensors (MEMS). The authors are of the view that findings of the research would help proposing innovative methodology in reducing foundation hazards related to highways, minimizing maintenance cost and help improving roadways serviceability. C1 [Amjad, Muhammad; Ali, Sarfraz; Iqbal, Mazhar] NUST, Coll Civil Engn, Risalpur Campus, Risalpur, Pakistan. [Qudoos, Abdul] Civil Works Org, Rawalpindi, Pakistan. [Sarosh, Ali] NUST, Coll Aeronaut Engn, Risalpur Campus, Risalpur, Pakistan. C3 National University of Sciences & Technology - Pakistan; National University of Sciences & Technology - Pakistan",2018,10.1007/978-981-13-0011-0_19,171-178,"['a, amjad m ali s iqbal m qudoos a sarosh']",['soft soils; mems; settlement; embankment; highways'],Proceedings Of Geoshanghai 2018 International Conference: Transportation Geotechnics And Pavement Engineering,P000282,['A000337'],['K000499']
Investigation Of The Enhancement Of Microelectromechanical Capacitive Pressure Sensor Performance Using The Genetic Algorithm Optimization Technique,"The electrical nonlinearity in microelectromechanical system (MEMS) capacitive pressure sensors is highly related to the geometry of the movable parts of these capacitors. Decreasing the electrical nonlinearity is one of the vital requirements to enhance the performance of these types of sensor, besides the high sensitivity. In the current investigation, the profile of the upper surface of the movable part of the sensor is optimally designed to achieve this goal. This profile is depicted by a fourth order polynomial to give the genetic algorithm the flexibility to change the polynomial coefficients to achieve the objectives. The MATLAB (R) code bvp4c is used to numerically integrate the governing differential equations. A COMSOL finite element model is created to calculate the flexible electrode deflection and the sensor capacitance for validation purposes. Finally, a weighted objective function is proposed and a guide for the recommended ranges of weight values is presented. C1 [Elshabasy, Mohamed M. Y. B.; Al-Moghazy, Mohamed A.; El Gamal, Hassan A.] Alexandria Univ, Dept Mech Engn, Alexandria 21544, Egypt. [Elshabasy, Mohamed M. Y. B.] Jubail Univ Coll, Male Branch, Dept Mech Engn, Jubail Ind City 31961, Eastern Provinc, Saudi Arabia. C3 Egyptian Knowledge Bank (EKB); Alexandria University; Jubail Industrial College",2021,10.1080/0305215x.2019.1694673,1-17,"['ha, elshabasy mmyb almoghazy ma el gamal']","['high-sensitivity; fabrication', 'mems; genetic algorithm; capacitive pressure sensors; electrical nonlinearity; finite element']",Engineering Optimization,P000283,['A000338'],"['K000500', 'K000501']"
"""Assist-Free"" Assembly Technique Of Standing Optical Devices On Soft Spring Actuator Stages","In this study, a new assembly technique of separately fabricated MEMS optical devices on fragile MEMS actuator stages has been developed to realize novel functional optical-MEMS devices. This technique realizes the ""assist-free"" alignment and fixing of vertically mounted optical devices by combination of ""micro spring slider"" and ""trapezoidal alignment slit"". Various kinds of optical devices can be precisely aligned and stably fixed even on movable actuator stages supported by soft spring suspensions. In the experiments, micro mirrors were attached on electrostatic linear actuators and rotational actuators using this assembly technique, and a small average value of relative-angle error around 4/100 degrees was successfully obtained. C1 [Oka, Yusaku; Shinozaki, Ryosuke; Terao, Kyohei; Suzuki, Takaaki; Shimokawa, Fusao; Oohira, Fumikazu; Takao, Hidekuni] Kagawa Univ, Micronano Struct Device Integrated Res Ctr, Takamatsu, Kagawa 760, Japan. C3 Kagawa University",2014,,433-436,"['h, oka y shinozaki r terao k suzuki t shimokawa f oohira f takao']",[],2014 Ieee 27Th International Conference On Micro Electro Mechanical Systems (Mems),P000284,['A000339'],[]
Sicnfe Ceramics As Soft Magnetic Material For Mems Magnetic Devices: A Mossbauer Study,"Polymer-derived SiCNFe ceramics is a prospective material that can be used as soft magnets in MEMS magnetic applications. The optimal synthesis process and low-cost appropriate microfabrication should be developed for best result. Homogeneous and uniform magnetic material is required for developing such MEMS devices. Therefore, the knowledge of exact composition of SiCNFe ceramics is very important for the microfabrication of magnetic MEMS devices. The Mossbauer spectrum of SiCN ceramics, doped with Fe (III) ions, and annealed at 1100 ?, was investigated at room temperature to accurately establish the phase composition of Fe-containing magnetic nanoparticles, which were formed in this material at pyrolysis and which determine their magnetic properties. The analysis of Mossbauer data shows the formation of several Fe-containing magnetic nanoparticles in SiCN/Fe ceramics, such as a-Fe, FexSiyCz, traces of Fe-N and paramagnetic Fe3+ with octahedral oxygen environment. The presence of iron nitride and paramagnetic Fe3+ ions shows that the pyrolysis process was not completed in SiCNFe ceramics annealed at 1100 ?. These new observations confirm the formation of different Fe-containing nanoparticles with complex composition in SiCNFe ceramic composite. C1 [Stiharu, Ion] Concordia Univ, Dept Mech Ind & Aerosp Engn, Montreal, PQ H3G 1M8, Canada. [Andronenko, Sergey; Zinnatullin, Almaz; Vagizov, Farit] Kazan Fed Univ, Inst Phys, Kazan 420008, Russia. C3 Concordia University - Canada; Kazan Federal University",2023,10.3390/mi14050925,,"['f, stiharu i andronenko s zinnatullin a vagizov']","['mossbauer spectroscopy; sicnfe composite; nanoparticles; mems magnetic actuators; soft magnets', 'polymer-derived ceramics; temperature; spintronics; fabrication; ferrocene; films; epr']",Micromachines,P000284,['A000340'],"['K000502', 'K000503']"
Laser Induced Chemical Etching Of Quartz For Mems Sensors Fabrication,"We report on a novel Laser-Induced Chemical Etching technology for fabrication of functional crystalline quartz MEMS resonant sensors. The suggested lithography-free fabrication approach does not alter the crystalline structure of quartz and allows piezoelectric actuation and high geometric design flexibility. The resonant force sensitive device, incorporating compliant amplification mechanism, was fabricated by the reported method and its functionality has been demonstrated. C1 [Sirota, M.; Lipavsky, B.; Nuttman, D.] Israel Aerosp Ind, Dept Engn, TAMAM, Yehud, Israel. [Melech, N.; HaLevy, O.; Krylov, S.] Tel Aviv Univ, Fac Engn, Sch Mech Engn, Tel Aviv, Israel. C3 Tel Aviv University",2023,10.1109/inertial56358.2023.10103805,,"['s, sirota m lipavsky b nuttman d melech n halevy o krylov']",['crystalline quartz mems; quartz anisotropic etch; laser assistant etch; force amplification'],"2023 Ieee International Symposium On Inertial Sensors And Systems, Inertial",P000285,['A000341'],['K000504']
"Novel, Flexible, And Ultrathin Pressure Feedback Sensor For Miniaturized Intraventricular Neurosurgery Robotic Tools","Remote-controlled minimally invasive neuroendoscopic robotic surgical tools can be miniaturized to a size of less than 2 mm while maintaining their dexterity and force required to perform operations in brain without an open-skull surgery. However, these platforms lack haptic information to be received by the surgeons, leading to loss of control over tissue and causing unexpected slippage and trauma. This study presents the design of a small and highly sensitive material-based sensor being integrated to the tool shaft, known as the concentric tube manipulators, to achieve static and quasi-static force sensing and feedback. Through a nine-element design and contact mechanics modeling, the sensor system can generate real-time polar visual pressure profile displays. Optimizations are performed on the subcomponents of the sensor design including microstructures and electrodes to improve detection threshold with reduced hysteresis. The finalized design can sense a force from as low as 14.8 +/- 1.22 mN to 1 N with excellent proportionality between the acquired signal and force applied while retaining its flexibility and sterilizability. The sensor will also enhance more intuitive force feedback for surgeons to use the dexterous neurosurgical tool, ensuring safety and quality of operations for minimally invasive surgeries for brain tumor and epilepsy practice. C1 [Chen, Tianhao] Univ Toronto, Inst Biomat & Biomed Engn, Toronto, ON M5S 3G9, Canada. [Saadatnia, Zia; Diller, Eric; Naguib, Hani E.] Univ Toronto, Dept Mech & Ind Engn, Toronto, ON M5S 3G8, Canada. [Kim, Jongwoo; Looi, Thomas; Drake, James] Hosp Sick Children, Toronto, ON M5G 1X8, Canada. C3 University of Toronto; University of Toronto; University of Toronto; Hospital for Sick Children (SickKids)",2021,10.1109/tie.2020.2984427,4415-4425,"['he, chen th saadatnia z kim j looi t drake j diller e naguib']","['robot sensing systems; force; electrodes; surgery; tools; electron tubes; concentric tube robots; contact mechanics; flexible pressure sensor; haptic feedback; microelectromechanical systems; minimally invasive surgeries', 'palpation; forceps']",Ieee Transactions On Industrial Electronics,P000286,['A000342'],"['K000505', 'K000506']"
Umems: A Robust Technology Platform For Quality Automotive Inertial Sensor Manufacturing,"A new MEMS technology platform, UMEMS, has been developed and released for automotive inertial sensors manufacturing. Several features, including 1) single crystal Silicon MEMS proof mass, 2) polysilicon Through-Si-Via (TSV), 3) AlGe eutectic wafer bonding, and 4) metal redistribution layer (RDL) routing, have been employed in UMEMS to improve reproducibility, reliability, flexibility and reduce cost. The single crystal Silicon proof mass has minimal internal stress. AlGe bonding serves the dual function of 1) electrically connecting TSV in the cap wafer and the silicon electrodes/interconnects in the device wafer, and 2) hermetically sealing the MEMS cavity from external environment. The TSV and RDL allow great design flexibility and re-use for large automotive product families. We also introduced a quality methodology called Above-and-Beyond (AaB) in the development and product introduction, which enables UMEMS to be released in volume manufacturing with sub-1ppm defectivity at early phase of production. C1 [Liu, Lianjun; Lagouge, Matthieu; Steimle, Bob; Geisberger, Aaron; McKillop, John; Monk, Dave] NXP Semicond, Adv Analog, Adv Interfaces & Sensors, 1300 North Alma Sch Rd,Bldg C, Chandler, AZ 85224 USA.",2023,10.1109/inertial56358.2023.10103951,,"['d, liu lj lagouge m steimle b geisberger a mckillop j monk']",['mems; inertial sensor; accelerometer; gyroscope; alge bonding; tsv; rdl'],"2023 Ieee International Symposium On Inertial Sensors And Systems, Inertial",P000287,['A000343'],['K000507']
"A Breathable, Waterproof And Battery-Free Wearable E-Nose With High Flexibility Based On Mems Gas Sensors For Accurate Identification Of Volatile Aromatic Hydrocarbons","Benzene, toluene, ethylbenzene, xylene, and styrene (BTEXS) are harmful gases indoors and in the cabin. Electronic nose (e-nose) technology has shown great potential in detecting BTEXS. However, to maintain the normal operation of the e-nose and improve the recognition accuracy, it often employs a large array of metal oxide semiconductor (MOS) gas sensors, along with extensive signal processing circuits and high-power solidstate batteries. The bulky structure makes it difficult for the e-nose to realize the portable real-time detection of BTEXS. Herein, a breathable, waterproof, battery-free, and highly flexible wearable e-nose (BWBFW e-nose) is fabricated for BTEXS detections. In detail, we first prepare a combination scheme of n-type and p-type MOS for forming four MEMS gas sensors, exhibiting differentiated response characteristics. Subsequently, a wireless supply module and a wireless signal processing module are designed on a flexible porous circuit board. Then, a waterproof and breathable membrane by electrospinning was adopted to encapsulate the flexible circuit board, endowing the e-nose with high safety. Finally, accurate identification and low-error concentration prediction of BTEXS are achieved with the help of a 1D Convolutional Neural Network (1DCNN) algorithm. We believe the enose reported here will shed new light on the design of new devices for detecting BTEXS. C1 [Yang, Ziyang; Chen, Mingrui; Xiang, Mianyi; Gao, Guo; Li, Qichao] Shanghai Jiao Tong Univ, Sch Mat Sci & Engn, State Key Lab Met Matrix Composites, Shanghai 200240, Peoples R China. [Yang, Ziyang; Chen, Mingrui; Xiang, Mianyi; Gao, Guo; Cui, Daxiang] Shanghai Jiao Tong Univ, Sch Elect Informat & Elect Engn, Sch Sensing Sci & Engn, Shanghai 200240, Peoples R China. [Liu, Yamin] Shanghai Jiao Tong Univ, Frontiers Sci Ctr Transformat Mol, Natl Ctr Translat Med, Sch Chem & Chem Engn, Shanghai 200240, Peoples R China. [Cui, Daxiang; Li, Qichao] Natl Engn Res Ctr Nanotechnol, Shanghai 200241, Peoples R China. C3 Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University",2025,10.1016/j.apmt.2024.102527,,"['qc, yang zy liu ym chen mr xiang my gao g cui dx li']","['gas sensor; harmful gases; volatile organic compounds; selectivity; detection limit', 'toluene']",Applied Materials Today,P000288,['A000344'],"['K000508', 'K000509']"
A Sacrificial-Layer-Free Fabrication Technology For Mems Transducer On Flexible Substrate,"The authors report the fabrication of polymer MEMS transducers, without using any sacrificial layers, on flexible substrates. The elimination of sacrificial layers and the process overhead associated with them is achieved through maskless grayscale UV lithography of SU-8 photoresist, and results in a simplification of the overall fabrication process. Six batches, with a total of 60 cantilevers and 60 double- clamped beams, and three batches, with a total of 1500 circular membranes, have been fabricated on commercially available, 45 um Kapton (R) polyimide sheets coated with a 35um copper layer. The validation of the fabrication process has been done through functional characterization of the bi-directional electromechanical interface and robustness to mechanical bending. The test and measurement results of the fabricated microstructures validate a good design predictability (geometry error: <5%, dynamical performance error: <4%), high reproducibility (less than 4% normalized standard deviation between individual microstructures) and an acceptable robustness against temporary bending of the substrate (less than 3% behavior change before and after bending). The approach opens the path for simple fabrication of MEMS transducers and their hybrid integration with electronics in all-flexible microsystems. (C) 2018 Elsevier B.V. All rights reserved. C1 [Ge, Chang; Cretu, Edmond] Univ British Columbia, Dept Elect & Comp Engn, 3063-2332 Main Mall, Vancouver, BC V6T 1Z4, Canada. C3 University of British Columbia",2019,10.1016/j.sna.2018.12.049,202-210,"['e, ge c cretu']","['polymer mems; flexible substrates; grayscale lithography; su-8 transducers', 'cationic-polymerization']",Sensors And Actuators A-Physical,P000289,['A000345'],"['K000510', 'K000511']"
